ID,address,city,ABBRV,state,lon,lat,name,postalCode(3)
4221,1284 Memorial Dr,Chicopee,MA,Massachusetts,-72.5763,42.1927,Burger King,01020
4234,1606 Memorial Dr,Chicopee,MA,Massachusetts,-72.57410277,42.2011176,D'Angelo Grilled Sandwiches,01020
4150,113 Northampton St,Easthampton,MA,Massachusetts,-72.671148,42.278666,Burger King,01027
4232,285 Maple St,Holyoke,MA,Massachusetts,-72.61053,42.20578,McDonald's,01040
4224,203 King St,Northampton,MA,Massachusetts,-72.63297,42.32848,Taco Bell,01060
4208,158 College Hwy,Southampton,MA,Massachusetts,-72.7243,42.2371,Burger King,01073
4219,755 Page Blvd,Springfield,MA,Massachusetts,-72.554422,42.142746,Burger King,01104
4195,400 Shaker Rd,Longmeadow,MA,Massachusetts,-72.570076,42.04038,Domino's Pizza,01106
4214,489 State St,Springfield,MA,Massachusetts,-72.576647,42.108163,Burger King,01109
4212,29 1st St,Pittsfield,MA,Massachusetts,-73.2511,42.4487,Burger King,01201
4242,555 Hubbard Ave,Pittsfield,MA,Massachusetts,-73.1959,42.4664,Subway,01201
4192,302 Stockbridge Rd,Great Barrington,MA,Massachusetts,-73.345399,42.209828,McDonald's,01230
4146,370 West Stockbridge Road,Lee,MA,Massachusetts,-73.2747,42.2969,McDonald's,01238
4257,240 West Rd,Lee,MA,Massachusetts,-73.27212,42.2947,McDonald's,01238
4229,500 Pittsfield Rd,Lenox,MA,Massachusetts,-73.26413,42.40503,Burger King,01240
4160,74 American Legion Dr,North Adams,MA,Massachusetts,-73.113245,42.697462,Burger King,01247
4206,399 John Fitch Hwy,Fitchburg,MA,Massachusetts,-71.77536,42.58161,Papa Gino's,01420
4248,189 Lunenburg St,Fitchburg,MA,Massachusetts,-71.78163,42.5842,Domino's Pizza,01420
4159,2 Barnum Rd,Ayer,MA,Massachusetts,-71.57348,42.551933,Wendy's,01432
4164,2 Sandy Pond Rd,Ayer,MA,Massachusetts,-71.57156,42.55365,McDonald's,01432
