YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Question,BMI,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,GeoLocation,,Locator,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2016,2016,LA,Louisiana,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,35.5,35.5,,,33.4,37.7,4868,"(31.31266064400046, -92.44568007099969)","31.31266064400046, -92.44568007099969)","31.31266064400046, -92.44568007099969",OWS,OWS1,Q036,VALUE,22,Total,Total,OVR,OVERALL
2016,2016,ME,Maine,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.9,29.9,,,28.5,31.3,9554,"(45.254228894000505, -68.98503133599962)","45.254228894000505, -68.98503133599962)","45.254228894000505, -68.98503133599962",OWS,OWS1,Q036,VALUE,23,Total,Total,OVR,OVERALL
2016,2016,MD,Maryland,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.9,29.9,,,28.9,31,16701,"(39.29058096400047, -76.60926011099963)","39.29058096400047, -76.60926011099963)","39.29058096400047, -76.60926011099963",OWS,OWS1,Q036,VALUE,24,Total,Total,OVR,OVERALL
2016,2016,MA,Massachusetts,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,23.6,23.6,,,22.3,24.9,7480,"(42.27687047000046, -72.08269067499964)","42.27687047000046, -72.08269067499964)","42.27687047000046, -72.08269067499964",OWS,OWS1,Q036,VALUE,25,Total,Total,OVR,OVERALL
2016,2016,MI,Michigan,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,32.5,32.5,,,31.4,33.6,11130,"(44.6613195430005, -84.71439026999968)","44.6613195430005, -84.71439026999968)","44.6613195430005, -84.71439026999968",OWS,OWS1,Q036,VALUE,26,Total,Total,OVR,OVERALL
2016,2016,MN,Minnesota,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,27.8,27.8,,,26.9,28.6,15420,"(46.35564873600049, -94.79420050299967)","46.35564873600049, -94.79420050299967)","46.35564873600049, -94.79420050299967",OWS,OWS1,Q036,VALUE,27,Total,Total,OVR,OVERALL
2016,2016,MS,Mississippi,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,37.3,37.3,,,35.4,39.1,4821,"(32.745510099000455, -89.53803082499968)","32.745510099000455, -89.53803082499968)","32.745510099000455, -89.53803082499968",OWS,OWS1,Q036,VALUE,28,Total,Total,OVR,OVERALL
2016,2016,MO,Missouri,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,31.7,31.7,,,30,33.4,6578,"(38.635790776000476, -92.56630005299968)","38.635790776000476, -92.56630005299968)","38.635790776000476, -92.56630005299968",OWS,OWS1,Q036,VALUE,29,Total,Total,OVR,OVERALL
2016,2016,KS,Kansas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,31.2,31.2,,,30.1,32.3,10947,"(38.34774030000045, -98.20078122699965)","38.34774030000045, -98.20078122699965)","38.34774030000045, -98.20078122699965",OWS,OWS1,Q036,VALUE,20,Total,Total,OVR,OVERALL
2016,2016,KY,Kentucky,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,34.2,34.2,,,32.7,35.6,9583,"(37.645970271000465, -84.77497104799966)","37.645970271000465, -84.77497104799966)","37.645970271000465, -84.77497104799966",OWS,OWS1,Q036,VALUE,21,Total,Total,OVR,OVERALL
2016,2016,US,National,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.6,29.6,,,29.3,29.8,438479,,,,OWS,OWS1,Q036,VALUE,59,Total,Total,OVR,OVERALL
2016,2016,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,35.7,35.7,,,34.2,37.3,6526,"(32.84057112200048, -86.63186076199969)","32.84057112200048, -86.63186076199969)","32.84057112200048, -86.63186076199969",OWS,OWS1,Q036,VALUE,1,Total,Total,OVR,OVERALL
